handle,sku,name,brand,finish,description,install_notes,recommended_for,notes
3m-2080-gloss-silver-chrome-vinyl-wrap-gc451,GC451,3M 2080 Gloss Silver Chrome Vinyl Wrap,3M,Chrome,,,,
3m-2080-gloss-sky-blue-vinyl-wrap-g77,G77,3M 2080 Gloss Sky Blue Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-sterling-silver-vinyl-wrap-g251,G251,3M 2080 Gloss Sterling Silver Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-storm-gray-vinyl-wrap-g31,G31,3M 2080 Gloss Storm Gray Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-sunflower-vinyl-wrap-g25,G25,3M 2080 Gloss Sunflower Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-white-aluminum-vinyl-wrap-g120,G120,3M 2080 Gloss White Aluminum Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-white-gold-sparkle-vinyl-wrap-gp240,GP240,3M 2080 Gloss White Gold Sparkle Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-white-vinyl-wrap-g10,G10,3M 2080 Gloss White Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-black-metallic-vinyl-wrap-hg212,HG212,3M 2080 High Gloss Black Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-high-gloss-black-vinyl-wrap-hg12,HG12,3M 2080 High Gloss Black Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-blue-raspberry-vinyl-wrap-hg378,HG378,3M 2080 High Gloss Blue Raspberry Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-bright-yellow-vinyl-wrap-hg15,HG15,3M 2080 High Gloss Bright Yellow Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-burnt-orange-vinyl-wrap-hg14,HG14,3M 2080 High Gloss Burnt Orange Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-citric-acid-vinyl-wrap-hg65,HG65,3M 2080 High Gloss Citric Acid Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-flip-black-psychedelic-vinyl-wrap-hgp221,HGP221,3M 2080 High Gloss Flip Black Psychedelic Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-flip-deep-space-vinyl-wrap-hg278,HGP278,3M 2080 High Gloss Flip Deep Space Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-green-envy-vinyl-wrap-hg336,,3M 2080 High Gloss Green Envy Vinyl Wrap HG336,3M,Gloss,,,,
3m-2080-high-gloss-hot-rod-red-vinyl-wrap-hg13,HG13,3M 2080 High Gloss Hot Rod Red Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-mantis-green-vinyl-wrap-hg36,HG36,3M 2080 High Gloss Mantis Green Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-meteor-gray-vinyl-wrap-hg81,HG81,3M 2080 High Gloss Meteor Gray Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-military-green-vinyl-wrap-hg26,HG26,3M 2080 High Gloss Military Green Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-nardo-gray-vinyl-wrap-hg61,HG61,3M 2080 High Gloss Nardo Gray Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-plum-explosion-vinyl-wrap-hgp258,HGP258,3M 2080 High Gloss Plum Explosion Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-ruby-rosso-vinyl-wrap-hg73,HG73,3M 2080 High Gloss Ruby Rosso Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-sky-blue-vinyl-wrap-hg77,HG77,3M 2080 High Gloss Sky Blue Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-storm-gray-vinyl-wrap-hg31,HG31,3M 2080 High Gloss Storm Gray Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-white-aluminum-vinyl-wrap-hg120,HG120,3M 2080 High Gloss White Aluminum Vinyl Wrap,3M,Gloss,,,,
3m-2080-high-gloss-white-vinyl-wrap-hg10,HG10,3M 2080 High Gloss White Vinyl Wrap,3M,Gloss,,,,
3m-2080-matrix-black-textured-vinyl-wrap-mx12,MX12,3M 2080 Matrix Black Textured Vinyl Wrap,3M,Textured,,,,
3m-2080-matte-black-metallic-vinyl-wrap-m212,M212,3M 2080 Matte Black Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-black-vinyl-wrap-m12,M12,3M 2080 Matte Black Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-blue-metallic-vinyl-wrap-m227,M227,3M 2080 Matte Blue Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-brown-metallic-vinyl-wrap-m209,M209,3M 2080 Matte Brown Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-charcoal-metalllic-vinyl-wrap-m211,M211,3M 2080 Matte Charcoal Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-dark-gray-vinyl-wrap-m261,M261,3M 2080 Matte Dark Gray Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-deep-black-vinyl-wrap-m22,M22,3M 2080 Matte Deep Black Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-gray-aluminum-vinyl-wrap-m230,M230,3M 2080 Matte Gray Aluminum Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-indigo-vinyl-wrap-m27,M27,3M 2080 Matte Indigo Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-military-green-vinyl-wrap-m26,M26,3M 2080 Matte Military Green Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-military-green-vinyl-wrap-m26-blowout-stock-380-sq-ft-310549,M26,3M 2080 Matte Military Green Vinyl Wrap,3M,Matte,,,,
3m-2080-matte-pine-green-metallic-vinyl-wrap-m206,M206,3M 2080 Matte Pine Green Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-matte-red-metallic-vinyl-wrap-m203,M203,3M 2080 Matte Red Metallic Vinyl Wrap,3M,Metallic,,,,
